Ward NO,Beds,area covered,Services,Staff,Contact,Sl No.,No of Applications,Total Collection (Amount in lakhs),Area (sq km)_x,Lakes #_x,Bins-Street sweeping waste (TPD),Bins-Size of street bins (in litres),Bins-No of street bins,Community bins/ compactor bins/ Dhalaos etc-Commercial Waste quantity (TPD),Community bins/ compactor bins/ Dhalaos etc-Size of bins/ containers (L),Community bins/ compactor bins/ Dhalaos etc-Year of purchase,Total no. of Households,Govt Schools #_x,Population,Male,Female,SC Population,SC male,SC Female,ST Population,ST Male,ST Female,State Code,HH condition - total,HH condition - Good,HH Condition - Livable,HH Condition - Dilapidated,HH Residence - total,HH Residence - Good,HH Residence - Livable,HH residence - dilapidated,HH residence-cum-other-use total,HH residence-cum-other-use Good,HH residence-cum-other-use Livable,HH residence-cum-other-use Dilapidated,Roof - Grass/ Thatch/ Bamboo/ Wood/Mud etc.,Roof - Plastic/ Polythene,Roof - Hand made Tiles,Roof - Machine made Tiles,Roof - Burnt Brick,Roof - Stone/ Slate,Roof - G.I./Metal/ Asbestos sheets,Roof - Concrete,Roof - Any other material,Wall - Grass/ Thatch/ Bamboo etc.,Wall - Plastic/ Polythene,Wall - Mud/Unburnt brick,Wall - Wood,Wall -Stone not packed with mortar,Wall - Stone packed with mortar,Wall -G.I./ Metal/ Asbestos sheets,Wall - Burnt brick,Wall - Concrete,Wall - Any other material,Floor - Mud,Floor - Wood/ Bamboo,Floor - Burnt Brick,Floor - Stone,Floor - Cement,Floor - Mosaic/ Floor tiles,Floor - Any other material,Dwelling rooms - No exclusive room,Dwelling rooms - One room,Dwelling rooms - Two rooms,Dwelling rooms - Three rooms,Dwelling rooms - Four rooms,Dwelling rooms - Five rooms,Dwelling rooms - Six rooms and above,HH Size - 1,HH Size - 2,HH Size - 3,HH Size - 4,HH Size - 5,HH Size - 6-8,HH Size - 9+,Ownership - Owned,Ownership -  Rented,Ownership -  Any others,Married Couple - None,Married Couple - 1,Married Couple - 2,Married Couple - 3,Married Couple - 4,Married Couple - 5+,Drinking Water - Tapwater from treated source,Drinking Water - Tapwater from un-treated source,Drinking Water - Covered well,Drinking Water - Un-covered well,Drinking Water - Handpump,Drinking Water - Tubewell/Borehole,Drinking Water - Spring,Drinking Water - River/Canal,Drinking Water - Tank/Pond/Lake,Drinking Water -  Other sources,Drinking water source - Within premises,Drinking water source - Near premises,Drinking water source - Away,Lighting - Electricity,Lighting - Kerosene,Lighting - Solar energy,Lighting - Other oil,Lighting - Any other,Lighting - No lighting,Number of households having latrine facility within the premises,Flush lutrince connected to Piped sewer system,Flush lutrince connected to Septic tank,Flush lutrince connected to Other system,Pit latrine With slab/ventilated improved pit,Pit Latrine - Without slab/  open pit,Night soil disposed into open drain,Night soil removed by human,Night soil serviced by animal,Number of households not having latrine facility within the premises,Alternative source -Public latrine,Alternative source - Open,bathing facility within the premises -Bathroom,bathing facility within the premises - Enclosure without roof,bathing facility within the premises - No,Waste water outlet connected to Closed drainage,Waste water outlet connected to Open drainage,Waste water outlet connected to No drainage,Type of Cooking Fuel - Fire-wood,Type of Cooking Fuel - Crop residue,Type of Cooking Fuel - Cowdung cake,"Type of Cooking Fuel - Coal,Lignite,Charcoal",Type of Cooking Fuel -  Kerosene,Type of Cooking Fuel -  LPG/PNG,Type of Cooking Fuel -  Electricity,Type of Cooking Fuel - Biogas,Type of Cooking Fuel - Any other,Type of Cooking Fuel - No cooking,Kitchen Facility Total,Kitchen Facility  - Cooking inside house,Kitchen Facility  - Cooking inside house - Has Kitchen,Kitchen Facility  - Cooking inside house - Does not have kitchen,Kitchen Facility  - Cooking outside house:,Kitchen Facility  - Cooking outside house: Has Kitchen,Kitchen Facility  - Cooking outside house: Does not have kitchen,Kitchen Facility  - Cooking outside house: No Cooking,Total number of households availing banking services,Availability of assets - Radio/Transistor,Availability of assets - Television,Availability of assets Computer/Laptop - With Internet,Availability of assets Computer/Laptop - Without Internet,Availability of assets Landline only,Availability of assets Mobile only,Availability of assets Both,HH with Bicycle,HH - Scooter/ Motorcycle/Moped,HH - Car/ Jeep/Van,"HH - Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",None of the assets specified in prev column,Type of structure of census house - Permanent,Type of structure of census house - Semi-Permanent,Type of structure of census house - Total Temporary,Type of structure of census house - Serviceable,Type of structure of census house - Non-Serviceable,Type of structure of census house - Unclassifiable,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons),Area (sq km)_y,Lakes #_y,Playgrounds #,Govt Schools #_y,Police Stations #,Fire stations #,BMTC TTMC #,Waste Quantity (TPD),Collection Vehicle details-Capacity (in cubic meters),Collection Vehicle details-Year of purchase,Collection Vehicle details-Nos of Vehicle,Collection Vehicle details-Frequency of trips /day,Number of Connections,Consumption in ML
100,,,,,,894,10389,1348.2,0.8,1,1.95,0.0,0.0,0.898,0.0,0.0,7495,1,30333,15465,14868,1820,937,883,529,259,270,29,100,84.6,14.8,0.6,98.9,83.9,14.4,0.5,1.1,0.7,0.4,0.0,0.1,0.2,0.2,0.2,0.2,3.1,10.2,85.7,0.1,0.0,0.0,1.6,0.0,2.7,10.6,0.1,53.9,31.1,0.1,0.3,0.0,0.3,2.3,22.4,73.6,1.1,2.0,19.7,29.9,24.9,11.1,4.3,8.2,3.2,12.2,22.7,32.0,14.5,12.4,3.1,37.8,58.9,3.3,13.7,72.9,10.9,2.3,0.2,0.0,87.5,8.2,0.1,0.3,0.0,3.7,0.0,0.0,0.0,0.1,96.4,3.3,0.3,99.3,0.2,0.4,0.1,0.0,0.1,99.7,98.3,0.7,0.2,0.1,0.1,0.1,0.0,0.1,0.3,0.1,0.2,99.9,0.1,0.1,99.8,0.1,0.1,4.6,0.1,0.0,0.0,6.0,88.5,0.1,0.2,0.1,0.4,100,99.5,98.9,0.6,0.1,0.1,0.0,0.4,83.4,51.9,93.3,26.5,20.1,6.3,59.9,30.0,24.8,61.9,29.2,38.5,0.7,98.0,1.9,0.0,0.0,0.0,0.1,17523,12810,30333,0.8,1,5,1,0,0,0,11.64,0.5,0.0,22,2,5764,166.51
101,0.0,102.0,0.0,0.0,22975669.0,897,9361,1054.18,0.9,1,2.365,0.0,0.0,1.528,0.0,0.0,7482,2,30051,15700,14351,2538,1303,1235,456,235,221,29,100,84.3,15.0,0.6,99.2,83.8,14.7,0.6,0.8,0.5,0.3,0.0,0.8,0.4,0.5,2.0,0.4,4.0,13.5,78.4,0.1,0.3,0.1,1.5,0.0,0.9,5.8,0.2,83.6,7.5,0.2,0.4,0.1,0.1,2.4,28.5,67.7,0.9,7.1,30.7,33.0,20.0,5.9,1.9,1.3,3.7,12.1,23.2,31.6,14.6,12.2,2.5,37.0,60.1,2.9,12.8,75.6,9.4,2.0,0.3,0.0,96.5,1.9,0.0,0.0,0.1,1.3,0.1,0.0,0.0,0.1,96.2,3.1,0.8,99.3,0.6,0.0,0.0,0.0,0.1,99.8,99.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,99.5,0.4,0.1,99.7,0.1,0.2,2.6,0.1,0.1,0.1,11.8,84.5,0.2,0.0,0.0,0.8,100,99.1,98.6,0.5,0.1,0.1,0.1,0.8,78.5,56.9,91.0,25.1,20.3,9.0,60.5,23.8,20.8,52.6,25.6,33.8,1.4,96.9,2.7,0.1,0.0,0.1,0.3,17216,12835,30051,0.9,1,2,2,1,0,0,11.53,0.5,0.0,16,2,3682,95.7
102,,,,,,900,14235,1113.4,1.0,0,2.17,0.0,0.0,1.488,0.0,0.0,13443,3,50893,27129,23764,2041,1071,970,831,452,379,29,100,69.6,30.0,0.4,99.3,69.3,29.6,0.4,0.7,0.3,0.5,0.0,1.6,0.4,1.1,0.9,0.3,6.5,21.5,67.7,0.0,0.3,0.0,2.2,0.1,7.9,6.5,0.2,70.4,12.2,0.1,0.3,0.1,0.1,0.6,46.0,52.7,0.2,5.3,40.8,35.5,14.3,2.7,0.8,0.6,3.7,13.3,23.2,34.1,14.5,9.8,1.5,24.8,72.7,2.6,15.9,77.0,6.1,1.0,0.1,0.0,95.7,2.0,0.1,0.0,0.0,1.0,0.1,0.1,1.0,0.1,96.4,3.4,0.1,99.6,0.3,0.0,0.0,0.0,0.0,99.6,99.1,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.4,0.3,0.1,99.8,0.1,0.0,99.6,0.3,0.1,1.4,0.1,0.0,0.1,18.7,78.6,0.1,0.2,0.1,0.7,100,99.2,99.1,0.2,0.0,0.0,0.0,0.7,55.6,36.9,85.5,6.4,15.2,6.0,80.8,5.5,13.2,30.5,7.3,9.9,2.2,95.4,4.2,0.2,0.0,0.2,0.1,26559,24334,50893,1.0,0,1,3,0,0,0,20.01,0.5,0.0,18,2,4173,94.63
103,0.0,104.0,0.0,0.0,0.0,903,14657,1339.05,1.7,1,7.525,0.0,0.0,3.066,0.0,2016.0,14168,2,53532,28684,24848,1959,1021,938,1138,591,547,29,100,83.0,16.7,0.3,99.5,82.7,16.6,0.3,0.5,0.3,0.1,0.0,0.4,0.3,0.6,0.2,0.1,3.5,26.2,68.6,0.1,0.1,0.2,1.0,0.0,0.8,6.9,0.2,88.2,2.5,0.1,0.5,0.0,0.1,1.7,44.9,52.7,0.2,4.4,43.4,34.9,12.7,3.2,0.8,0.5,4.1,13.3,23.9,34.0,14.2,8.9,1.6,23.9,74.3,1.7,16.3,76.0,6.6,1.0,0.1,0.0,95.0,3.6,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.2,97.5,2.3,0.3,99.1,0.4,0.4,0.0,0.1,0.0,99.6,99.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,99.5,0.1,0.3,97.4,2.3,0.2,1.2,0.1,0.0,0.0,20.6,77.0,0.3,0.2,0.1,0.5,100,99.3,98.9,0.4,0.1,0.1,0.0,0.5,55.7,55.5,84.0,6.6,11.4,3.3,80.6,7.7,15.1,33.2,9.7,10.8,2.8,98.0,1.7,0.2,0.0,0.2,0.2,28510,25022,53532,1.7,1,1,2,0,0,0,21.69,0.5,0.0,26,2,5037,105.98
104,,,,,,906,8065,1247.5,0.8,0,2.175,0.0,0.0,3.7,0.0,0.0,6678,1,26873,13862,13011,2723,1361,1362,467,244,223,29,100,86.8,12.3,0.9,99.3,86.3,12.1,0.9,0.7,0.5,0.2,0.0,0.9,0.3,1.9,0.8,0.3,2.8,14.0,78.9,0.0,0.1,0.0,5.9,0.1,2.5,16.1,0.2,56.0,19.0,0.1,0.4,0.1,0.1,1.3,29.2,68.0,1.0,4.3,26.5,34.2,23.4,6.7,3.0,1.8,3.6,12.4,23.1,30.6,15.1,12.5,2.6,38.8,59.5,1.8,14.1,73.2,10.7,1.8,0.2,0.1,95.9,1.0,0.0,0.0,0.0,2.9,0.1,0.0,0.0,0.2,96.9,2.4,0.7,99.7,0.2,0.0,0.0,0.0,0.0,99.6,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,99.5,0.2,0.3,99.4,0.6,0.0,1.7,0.0,0.0,0.0,10.6,86.6,0.1,0.0,0.1,0.7,100,99.3,98.9,0.4,0.1,0.0,0.0,0.7,82.6,47.4,91.5,22.2,19.7,6.5,62.8,24.3,18.5,51.5,24.8,31.5,1.4,92.7,7.0,0.2,0.2,0.0,0.1,15756,11117,26873,0.8,0,6,1,0,0,0,10.89,0.5,0.0,11,2,2880,66.76
105,0.0,106.0,0.0,0.0,22975671.0,909,9230,1091.85,0.8,0,6.29,0.0,0.0,2.4,0.0,2016.0,7192,1,28355,14614,13741,3225,1650,1575,599,307,292,29,100,84.2,13.6,2.2,99.4,83.7,13.4,2.2,0.6,0.5,0.1,0.0,1.2,0.6,1.2,0.8,0.2,6.2,14.0,75.6,0.2,0.3,0.0,1.7,0.1,3.4,21.9,1.9,56.4,13.9,0.3,0.6,0.1,0.1,2.6,35.4,59.3,1.9,6.6,27.3,32.0,26.0,5.3,1.8,1.1,3.5,13.3,22.8,30.9,15.0,12.0,2.6,34.6,60.9,4.5,14.3,73.8,9.7,1.9,0.3,0.0,95.2,1.8,0.0,0.0,0.2,2.5,0.1,0.0,0.0,0.2,95.6,3.9,0.5,99.4,0.4,0.0,0.0,0.0,0.2,97.2,96.5,0.1,0.3,0.0,0.0,0.2,0.0,0.0,2.8,2.1,0.7,98.6,0.8,0.6,96.4,2.3,1.3,2.8,0.1,0.1,0.0,10.8,85.2,0.2,0.2,0.0,0.8,100,98.8,97.9,0.9,0.4,0.2,0.2,0.8,79.6,55.6,91.5,22.0,15.3,10.0,65.5,19.4,20.8,52.4,19.0,28.7,1.4,95.9,3.3,0.3,0.1,0.2,0.5,16096,12259,28355,0.8,0,0,1,1,0,0,11.49,0.5,0.0,15,2,3210,96.27
106,,,,,,912,7946,1865.74,1.0,0,1.54,0.0,0.0,4.16,0.0,0.0,6077,1,24181,12517,11664,2158,1119,1039,678,353,325,29,100,79.0,20.5,0.5,98.8,78.4,20.1,0.4,1.2,0.7,0.4,0.1,0.3,0.1,0.4,0.5,0.1,3.2,12.9,82.5,0.1,0.0,0.1,1.3,0.0,0.4,1.8,0.1,91.2,4.7,0.3,1.1,0.0,0.3,2.3,39.5,56.5,0.4,6.4,35.1,37.4,15.0,4.5,0.8,0.7,4.0,11.9,21.6,34.3,14.5,11.1,2.5,28.9,68.8,2.3,15.8,74.0,8.5,1.5,0.2,0.0,96.0,2.4,0.0,0.0,0.1,1.1,0.0,0.0,0.1,0.1,94.4,5.3,0.4,99.3,0.6,0.0,0.0,0.0,0.1,99.1,98.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.6,98.9,0.7,0.4,97.5,2.1,0.4,1.2,0.3,0.0,0.5,8.9,88.5,0.1,0.1,0.0,0.5,100,99.3,98.2,1.1,0.2,0.1,0.1,0.5,79.3,45.7,90.4,16.1,20.4,18.4,68.7,8.5,19.2,50.2,14.8,23.3,1.0,98.0,1.5,0.1,0.0,0.1,0.4,13662,10519,24181,1.0,0,2,1,0,1,0,9.8,0.5,0.0,11,2,2471,80.77
107,,,,,,915,11458,1412.56,0.8,0,3.447,0.0,0.0,0.496,0.0,0.0,9260,1,36461,19071,17390,1197,630,567,510,269,241,29,100,87.1,12.8,0.1,99.5,86.8,12.6,0.1,0.5,0.3,0.2,0.0,0.5,0.3,0.7,0.6,0.3,2.3,11.2,84.0,0.0,0.2,0.0,2.5,0.0,7.1,2.7,0.2,74.1,13.0,0.1,0.5,0.0,0.0,1.2,28.1,69.7,0.6,2.9,28.2,36.2,20.9,7.3,2.8,1.8,3.8,12.3,23.7,31.8,13.9,11.4,3.1,32.7,64.2,3.1,15.4,73.3,9.2,1.7,0.3,0.1,95.4,1.6,0.1,0.1,0.0,2.6,0.1,0.0,0.1,0.1,97.0,2.7,0.3,99.7,0.2,0.0,0.1,0.0,0.0,99.9,98.9,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.1,99.9,0.1,0.0,99.9,0.1,0.1,2.4,0.3,0.0,0.0,4.9,90.1,0.4,0.3,0.0,1.5,100,98.4,98.1,0.3,0.1,0.1,0.0,1.5,85.1,46.8,92.0,25.4,23.8,14.9,66.1,15.4,23.7,56.2,19.6,33.0,0.6,96.3,3.5,0.0,0.0,0.0,0.1,20466,15995,36461,0.8,0,3,1,0,0,0,13.99,0.5,0.0,15,2,2454,88.36
108,0.0,0.0,0.0,0.0,0.0,918,13201,2780.54,1.1,0,4.595,0.0,0.0,0.82,0.0,0.0,8156,4,33866,17274,16592,1577,798,779,301,157,144,29,100,81.8,17.6,0.5,98.5,80.8,17.2,0.5,1.5,1.0,0.5,0.1,0.6,0.1,0.9,0.1,0.2,1.7,10.2,86.2,0.0,0.0,0.0,2.3,0.0,3.5,6.6,0.1,75.3,12.1,0.1,0.4,0.0,0.2,4.2,35.3,59.2,0.6,3.7,29.9,31.0,20.9,8.7,3.1,2.7,3.6,12.3,21.4,30.8,15.7,12.7,3.4,48.1,49.5,2.4,14.4,71.5,11.4,2.3,0.4,0.1,97.9,0.1,0.1,0.1,0.1,1.7,0.0,0.0,0.0,0.0,97.2,2.6,0.2,99.5,0.3,0.2,0.0,0.0,0.0,99.7,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,99.7,0.2,0.1,99.0,1.0,0.0,1.0,0.0,0.0,0.0,9.6,88.6,0.2,0.1,0.0,0.5,100,99.4,98.1,1.3,0.1,0.0,0.1,0.5,85.2,56.7,93.7,28.0,20.0,10.8,49.4,34.2,23.5,59.2,28.5,37.5,1.3,96.9,2.9,0.1,0.1,0.0,0.1,19864,14002,33866,1.1,0,4,4,0,0,0,12.99,0.5,0.0,25,2,4677,113.48
109,,,,,,921,27397,5421.73,0.7,0,3.415,0.0,0.0,9.164,0.0,0.0,6842,2,33292,17629,15663,277,135,142,185,100,85,29,100,78.4,21.0,0.5,95.2,75.6,19.1,0.5,4.8,2.8,2.0,0.0,1.2,0.2,0.8,0.6,0.5,2.0,3.7,90.7,0.2,0.4,0.0,1.2,0.0,4.7,33.8,0.0,41.7,17.9,0.1,0.6,0.4,0.1,0.6,31.5,66.4,0.4,2.4,18.5,32.4,30.8,10.3,2.8,2.7,2.3,7.3,14.5,26.7,20.3,20.5,8.4,46.5,48.3,5.1,12.7,65.9,15.3,4.9,1.0,0.2,90.3,1.4,1.8,0.4,0.1,5.6,0.1,0.0,0.0,0.4,93.8,4.6,1.6,99.1,0.8,0.0,0.0,0.0,0.0,99.7,97.2,0.4,2.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,99.5,0.3,0.1,99.7,0.2,0.1,4.3,0.1,0.0,0.0,3.7,89.3,0.1,1.4,0.0,1.0,100,98.9,97.2,1.7,0.1,0.1,0.0,1.0,86.9,51.5,94.3,15.5,20.9,7.1,54.9,34.7,18.9,54.7,9.9,24.6,0.7,96.9,2.5,0.3,0.2,0.1,0.3,21134,12158,33292,0.7,0,0,2,1,0,0,12.75,0.5,0.0,43,2,5599,110.56
110,0.0,119.0,0.0,0.0,0.0,924,19068,8827.19,4.4,0,3.003,0.0,0.0,0.508,0.0,0.0,6423,6,27504,13999,13505,1890,967,923,155,78,77,29,100,83.7,15.7,0.5,98.1,82.1,15.5,0.5,1.9,1.6,0.3,0.0,0.7,0.3,0.8,0.6,0.4,2.8,8.4,85.8,0.2,0.1,0.0,1.2,0.0,13.2,20.5,0.3,56.5,8.2,0.1,0.5,0.0,0.7,1.4,38.3,59.0,0.2,6.8,30.4,30.0,20.1,7.8,2.4,2.5,4.8,10.8,19.1,30.5,15.5,15.1,4.3,42.0,53.4,4.5,15.7,70.2,10.9,2.6,0.5,0.1,91.5,4.2,0.5,0.6,0.1,2.5,0.0,0.0,0.0,0.6,89.9,9.5,0.6,99.5,0.4,0.0,0.0,0.0,0.1,99.7,99.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,99.4,0.3,0.2,99.5,0.3,0.2,1.5,0.2,0.0,0.2,5.9,91.4,0.3,0.1,0.0,0.4,100,98.4,97.0,1.4,1.2,1.0,0.2,0.4,86.4,61.7,92.9,25.0,17.9,14.9,57.3,23.6,26.5,52.9,22.6,32.1,1.0,97.6,1.8,0.3,0.2,0.1,0.3,16487,11017,27504,4.4,0,3,6,6,0,0,10.96,0.5,0.0,23,2,3009,128.36
111,,,,,,927,28616,23923.59,4.0,0,3.41065,0.0,0.0,5.6,0.0,0.0,5493,1,22995,11518,11477,3178,1512,1666,291,124,167,29,100,80.1,17.8,2.0,98.9,79.5,17.4,2.0,1.1,0.7,0.4,0.0,0.6,0.1,2.6,1.7,0.3,2.1,11.3,81.3,0.1,0.2,0.1,2.6,0.0,1.5,12.5,0.9,50.7,31.4,0.1,0.7,0.0,0.1,1.4,27.6,69.4,0.9,3.4,21.0,25.6,30.3,11.1,4.9,3.7,6.8,13.5,18.7,26.4,15.4,15.0,4.2,64.4,31.4,4.2,15.9,72.7,8.9,2.0,0.4,0.1,95.9,3.0,0.1,0.1,0.2,0.5,0.0,0.0,0.0,0.2,93.5,6.3,0.2,99.4,0.3,0.1,0.1,0.0,0.0,98.6,96.9,1.5,0.2,0.1,0.0,0.0,0.0,0.0,1.4,1.3,0.1,97.5,0.8,1.7,97.3,1.6,1.0,4.0,0.2,0.0,0.0,9.1,86.0,0.1,0.1,0.0,0.4,100,98.9,96.5,2.4,0.6,0.3,0.4,0.4,89.5,50.2,95.0,43.8,17.6,19.7,46.3,31.6,30.9,53.9,45.4,51.6,0.6,96.3,3.5,0.1,0.0,0.0,0.2,13295,9700,22995,4.0,0,9,1,1,1,0,7.95,0.5,0.0,11,2,3776,229.13
112,0.0,88.0,0.0,0.0,22975879.0,930,16236,4857.5,1.7,0,5.9815,0.0,0.0,1.136,0.0,0.0,7844,3,30638,15497,15141,6055,3002,3053,762,385,377,29,100,80.7,14.4,4.9,99.4,80.2,14.4,4.9,0.6,0.5,0.0,0.0,2.5,0.8,1.2,0.9,0.8,6.2,12.6,75.1,0.0,0.3,0.3,6.9,0.0,3.7,5.7,0.4,73.1,9.3,0.2,4.3,0.0,0.0,0.5,25.1,68.8,1.2,2.3,19.8,28.6,32.0,11.0,3.4,2.9,6.8,15.0,21.5,28.0,14.7,12.2,1.9,44.2,51.6,4.2,16.8,71.8,9.5,1.7,0.2,0.1,86.8,6.7,0.2,0.0,0.3,5.8,0.0,0.0,0.0,0.2,88.7,9.6,1.7,98.8,0.7,0.0,0.1,0.0,0.2,95.0,94.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,5.0,0.9,4.1,94.3,1.5,4.2,97.8,0.7,1.5,1.9,0.4,0.0,0.0,9.1,86.9,0.1,0.0,0.3,1.2,100,94.6,93.7,0.9,4.3,0.0,4.2,1.2,86.3,57.2,93.5,39.9,17.4,17.8,47.5,30.2,29.7,55.3,33.7,45.9,0.9,89.8,9.2,0.8,0.3,0.5,0.2,17633,13005,30638,1.7,0,1,3,0,0,1,10.59,0.5,0.0,21,2,4758,195.97
113,,,,,,933,24322,5502.969999999999,2.1,1,5.28,0.0,0.0,3.282,0.0,0.0,10725,2,38108,19995,18113,4576,2296,2280,306,156,150,29,100,86.7,10.4,2.8,99.6,86.5,10.2,2.8,0.4,0.3,0.2,0.0,1.5,2.1,1.1,0.2,0.3,3.4,9.3,82.1,0.2,0.2,1.3,3.0,0.0,2.2,8.4,0.4,44.9,39.5,0.2,2.3,0.2,0.3,1.1,16.9,79.0,0.2,2.7,21.7,32.8,30.7,8.8,2.4,0.8,8.6,22.1,23.4,24.5,11.4,8.4,1.5,37.7,59.4,2.9,24.0,69.3,5.8,0.9,0.1,0.0,90.1,2.1,0.1,0.1,0.2,6.3,0.0,0.0,0.0,1.0,93.2,5.0,1.8,97.0,2.7,0.0,0.1,0.0,0.3,97.3,90.2,1.5,0.1,5.3,0.0,0.1,0.0,0.0,2.7,0.4,2.3,97.0,2.7,0.3,96.8,1.0,2.1,3.2,0.6,0.0,0.0,5.3,89.6,0.3,0.2,0.1,0.6,100,98.9,96.5,2.4,0.5,0.3,0.2,0.6,88.4,42.2,90.5,52.4,17.5,19.1,45.5,32.5,22.1,58.8,36.5,53.0,1.0,93.8,3.8,2.1,0.7,1.4,0.3,19541,18567,38108,2.1,1,2,2,0,0,0,12.58,0.5,0.0,16,2,3936,122.6
114,,,,,,936,5935,721.27,11.0,0,2.205,0.0,0.0,0.932,0.0,0.0,7734,3,36916,21259,15657,11469,5730,5739,270,173,97,29,100,77.1,22.8,0.1,99.6,76.8,22.7,0.1,0.4,0.3,0.1,0.0,0.7,0.2,3.7,4.0,1.5,7.6,28.1,53.5,0.7,0.1,0.0,9.3,0.0,4.9,18.4,0.4,45.4,21.2,0.3,1.2,0.0,0.2,1.1,52.7,42.4,2.3,3.1,37.7,32.0,18.5,6.3,1.3,1.1,3.5,10.0,18.0,30.1,20.2,15.5,2.7,58.4,35.6,6.1,15.5,76.5,6.8,0.9,0.2,0.0,87.6,4.1,0.3,0.8,0.0,7.2,0.0,0.0,0.0,0.0,71.2,22.8,6.1,98.2,1.2,0.6,0.0,0.0,0.0,81.5,79.6,1.3,0.4,0.1,0.0,0.0,0.0,0.0,18.5,18.5,0.1,93.8,2.2,4.0,90.0,8.0,2.1,1.8,0.4,0.1,0.0,23.2,72.7,0.1,1.3,0.0,0.4,100,99.3,91.3,8.0,0.3,0.2,0.1,0.4,66.8,33.2,95.2,16.2,18.9,14.2,64.7,11.5,26.3,48.1,13.7,25.9,1.3,89.0,10.0,0.1,0.1,0.0,0.9,19003,17913,36916,11.0,0,1,3,0,0,0,12.76,0.5,0.0,15,2,2927,150.51
115,,,,,,939,9706,537.8199999999999,0.8,0,2.89,0.0,0.0,0.44,0.0,0.0,8466,1,37060,18685,18375,10668,5297,5371,1274,641,633,29,100,71.2,25.8,3.0,99.3,70.7,25.6,3.0,0.7,0.5,0.2,0.0,0.3,0.4,1.6,1.6,0.2,2.1,27.6,66.1,0.1,0.2,0.0,3.7,0.0,4.1,5.5,15.5,55.9,14.8,0.2,8.3,0.1,0.2,0.8,50.6,39.3,0.7,9.2,29.8,34.7,20.3,4.3,1.0,0.7,3.3,10.1,16.7,29.4,19.6,18.1,2.8,47.9,47.5,4.6,14.1,77.9,6.5,1.1,0.3,0.1,96.5,1.4,0.3,0.1,0.1,1.5,0.1,0.1,0.1,0.1,74.4,20.3,5.3,98.5,1.3,0.1,0.0,0.0,0.1,82.4,79.4,2.2,0.3,0.2,0.0,0.1,0.0,0.0,17.6,17.5,0.1,92.3,2.5,5.2,89.3,6.6,4.1,3.6,0.2,0.0,0.0,21.1,74.1,0.1,0.4,0.0,0.4,100,98.2,83.2,14.9,1.5,0.2,1.2,0.4,62.8,39.8,87.9,13.0,14.3,7.8,73.1,10.3,24.1,46.2,10.0,19.5,2.9,95.2,4.5,0.1,0.0,0.1,0.2,22044,15016,37060,0.8,0,4,1,1,0,0,12.81,0.5,0.0,20,2,5172,107.23
116,0.0,117.0,0.0,0.0,22975790.0,942,3798,233.0,0.5,0,1.625,0.0,0.0,0.46,0.0,0.0,10743,7,48534,25323,23211,8950,4477,4473,643,310,333,29,100,74.1,24.4,1.5,99.4,73.7,24.3,1.4,0.6,0.3,0.2,0.0,0.4,0.5,2.0,0.2,1.3,4.7,30.8,60.1,0.0,0.3,0.2,5.7,0.2,7.3,13.8,3.0,31.3,38.0,0.2,2.1,0.1,0.5,0.8,58.5,37.6,0.4,9.6,43.1,32.9,12.3,1.6,0.3,0.3,3.6,8.5,14.7,27.4,21.3,20.8,3.8,38.5,58.2,3.3,14.2,77.3,7.0,1.2,0.2,0.1,91.0,4.5,0.3,0.1,0.4,2.6,0.1,0.0,0.0,0.9,76.3,15.8,7.9,98.6,1.1,0.1,0.1,0.0,0.1,92.4,88.5,2.0,1.4,0.3,0.0,0.0,0.0,0.1,7.6,5.7,1.9,96.3,2.8,0.9,91.8,6.0,2.2,3.2,0.5,0.1,0.0,31.3,63.9,0.1,0.1,0.1,0.7,100,99.0,94.7,4.3,0.3,0.1,0.2,0.7,45.1,22.5,84.7,4.9,13.0,9.3,72.0,3.8,24.0,33.9,3.8,8.1,3.0,92.6,6.8,0.3,0.1,0.2,0.3,28289,20245,48534,0.5,0,0,7,0,0,0,16.77,0.5,0.0,20,2,2641,62.12
